Q1[CC][1],Q1[CC][2],Q1[IE][1],Q1[IE][2],Q1[CE][1],Q1[CE][2],Q1[OS][1],Q1[OS][2],Q1[BE][1],Q1[BE][2],Q1[NI][1],Q1[NI][2],Q1[CI][1],Q1[CI][2],Q1[UL][1],Q1[UL][2],V1[GNT][1],V1[GNT][2],V1[ASQ][1],V1[ASQ][2],V1[ORR][1],V1[ORR][2],V1[ENM][1],V1[ENM][2],V1[RVO][1],V1[RVO][2],V2,U1,U1[other],U2,U2[other],U3,U3[other]
1,3,1,2,1,1,1,1,1,1,2,2,2,1,0,1,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,,4,"Humanities (social sciences, education, psychology, etc.)",,Mostly qualitative,,Only occasionally,
2,3,1,3,-1,0,0,1,1,1,1,2,0,0,2,2,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4,"Humanities (social sciences, education, psychology, etc.)",,Mostly qualitative,,Only occasionally,
2,3,2,3,3,3,1,1,1,3,2,2,3,3,3,3,2.0,5.0,2.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5,"Humanities (social sciences, education, psychology, etc.)",,Mostly quantitative,,Rather frequently,
2,-2,1,0,-1,-2,1,0,1,-1,1,0,0,-2,0,0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1,"Technical professions (computer science, mathematics, engineering, etc.)",,Mostly qualitative,,Only occasionally,
1,-1,0,1,2,-2,0,0,1,0,0,1,1,0,1,1,3.0,3.0,4.0,4.0,3.0,4.0,,,4.0,4.0,4,"Technical professions (computer science, mathematics, engineering, etc.)",,Other,Both,Rather frequently,
-1,0,1,1,1,-1,1,2,1,1,1,1,1,2,2,2,4.0,4.0,3.0,4.0,3.0,,3.0,3.0,4.0,4.0,5,"Technical professions (computer science, mathematics, engineering, etc.)",,,,,
-1,2,2,1,2,1,1,0,1,-1,0,0,1,-2,0,0,,4.0,,5.0,4.0,2.0,3.0,1.0,,,3,"Technical professions (computer science, mathematics, engineering, etc.)",,Mostly qualitative,,Rather frequently,
2,-1,2,1,3,-1,2,0,-1,0,1,1,1,2,1,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5,"Technical professions (computer science, mathematics, engineering, etc.)",,Mostly quantitative,,Rather frequently,
2,-2,3,-2,1,-2,2,-1,1,0,3,0,2,0,0,0,4.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4,Other,Biology,,,Only occasionally,
2,2,2,2,0,0,3,2,2,1,2,1,3,2,2,1,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5,"Humanities (social sciences, education, psychology, etc.)",,Mostly qualitative,,Rather frequently,
2,0,1,1,0,-1,3,2,2,1,2,1,3,3,2,1,4.0,2.0,,,5.0,5.0,3.0,4.0,5.0,5.0,4,"Humanities (social sciences, education, psychology, etc.)",,Other,psychotherapy,Only occasionally,
